ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2004/05/27,20:55:56 +2:00 GMT,213.107.126.175:4358,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/05/27,20:56:04 +2:00 GMT,67.69.62.157:4493,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/05/27,20:58:32 +2:00 GMT,212.22.41.179:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/05/27,21:01:42 +2:00 GMT,221.155.197.20:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/05/27,21:24:22 +2:00 GMT,217.30.148.111:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/05/27,21:37:32 +2:00 GMT,211.49.148.237:62862,192.168.31.2:27374,TCP (flags:S)
FWIN,2004/05/27,21:37:34 +2:00 GMT,211.49.148.237:63461,192.168.31.2:27374,TCP (flags:S)
FWIN,2004/05/27,21:39:02 +2:00 GMT,212.33.240.183:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/05/27,21:39:12 +2:00 GMT,212.100.97.10:3862,192.168.31.2:4000,TCP (flags:S)
FWIN,2004/05/27,21:51:58 +2:00 GMT,62.87.135.99:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/05/27,21:53:54 +2:00 GMT,217.30.148.111:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/05/27,22:00:06 +2:00 GMT,212.64.194.124:2374,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/05/27,22:20:36 +2:00 GMT,212.205.250.122:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/05/27,22:39:40 +2:00 GMT,80.38.223.29:4930,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/05/27,22:53:44 +2:00 GMT,211.109.128.162:666,192.168.31.2:1026,UDP
FWIN,2004/05/27,22:53:44 +2:00 GMT,211.109.128.162:666,192.168.31.2:1027,UDP
FWIN,2004/05/27,23:16:12 +2:00 GMT,213.122.1.124:2079,192.168.31.2:27374,TCP (flags:S)
FWIN,2004/05/27,23:16:26 +2:00 GMT,192.168.55.18:1623,192.168.31.2:445,TCP (flags:S)
FWIN,2004/05/27,23:41:58 +2:00 GMT,212.106.92.158:2466,192.168.31.2:901,TCP (flags:S)
FWIN,2004/05/28,00:17:44 +2:00 GMT,12.22.86.120:4527,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/05/28,00:39:02 +2:00 GMT,69.148.82.135:3624,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/05/28,01:58:20 +2:00 GMT,212.217.103.135:0,192.168.31.2:0,ICMP (type:8/subtype:0)
PE,2004/05/28,02:06:34 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
ACCESS,2004/05/28,02:06:34 +2:00 GMT,Aplikacja logowania systemu Windows NT was unable to obtain permission for connecting to the local zone (192.168.31.1:Port 389); access was denied.,N/A,N/A
PE,2004/05/28,02:06:34 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/05/28,02:06:42 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/05/28,02:06:42 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
FWIN,2004/05/28,02:36:54 +2:00 GMT,210.243.38.253:3019,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/05/28,02:37:26 +2:00 GMT,211.232.26.163:3751,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/05/28,02:40:36 +2:00 GMT,82.40.43.140:1420,192.168.31.2:901,TCP (flags:S)
FWIN,2004/05/28,03:17:46 +2:00 GMT,219.148.146.76:4425,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/05/28,03:17:46 +2:00 GMT,219.148.146.76:4889,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/05/28,04:17:18 +2:00 GMT,148.244.122.4:1674,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/05/28,04:52:52 +2:00 GMT,83.129.58.51:4757,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/05/28,04:55:52 +2:00 GMT,217.226.122.24:3646,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/05/28,05:03:48 +2:00 GMT,211.109.128.162:666,192.168.31.2:1026,UDP
FWIN,2004/05/28,05:26:48 +2:00 GMT,212.77.194.248:2521,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/05/28,05:35:16 +2:00 GMT,212.120.163.136:3365,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/05/28,05:35:16 +2:00 GMT,212.120.163.136:3368,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/05/28,05:35:16 +2:00 GMT,212.120.163.136:3374,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/05/28,05:35:16 +2:00 GMT,212.120.163.136:3375,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/05/28,05:57:20 +2:00 GMT,61.79.230.149:3228,192.168.31.2:901,TCP (flags:S)
FWIN,2004/05/28,06:03:22 +2:00 GMT,82.83.127.228:24983,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/05/28,06:04:36 +2:00 GMT,211.21.53.237:8988,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/05/28,06:18:52 +2:00 GMT,212.48.197.76:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/05/28,06:40:24 +2:00 GMT,210.6.31.183:4041,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/05/28,06:40:24 +2:00 GMT,210.6.31.183:4298,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/05/28,06:41:18 +2:00 GMT,68.191.176.148:2898,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/05/28,07:00:24 +2:00 GMT,211.144.105.190:54283,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/05/28,08:11:28 +2:00 GMT,212.199.219.208:4212,192.168.31.2:5000,TCP (flags:S)
FWIN,2004/05/28,08:24:00 +2:00 GMT,212.116.196.36:23238,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/05/28,08:24:50 +2:00 GMT,192.168.41.213:4295,192.168.31.2:445,TCP (flags:S)
FWIN,2004/05/28,08:25:06 +2:00 GMT,192.168.41.214:2319,192.168.31.2:445,TCP (flags:S)
FWIN,2004/05/28,08:27:34 +2:00 GMT,212.109.210.137:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/05/28,09:36:30 +2:00 GMT,192.168.41.216:3411,192.168.31.2:445,TCP (flags:S)
FWIN,2004/05/28,09:55:28 +2:00 GMT,195.23.44.121:3987,192.168.31.2:6129,TCP (flags:S)
PE,2004/05/28,10:06:44 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
ACCESS,2004/05/28,10:06:44 +2:00 GMT,Aplikacja logowania systemu Windows NT was unable to obtain permission for connecting to the local zone (192.168.31.1:Port 389); access was denied.,N/A,N/A
