ZoneAlarm Logging Client v5.5.062.000
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport (security)
type,date,time,virus name,file name,mode,e-mail id (antivirus)
type,date,time,source,destination,action,service (IM security)
FWIN,2005/05/26,07:51:14 +2:00 GMT,212.106.235.209:4837,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/05/26,07:52:38 +2:00 GMT,212.127.211.174:3581,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/05/26,08:41:38 +2:00 GMT,218.66.104.132:39623,192.168.31.2:1027,UDP
FWIN,2005/05/26,08:41:38 +2:00 GMT,218.66.104.132:39623,192.168.31.2:1026,UDP
FWIN,2005/05/26,08:45:22 +2:00 GMT,61.152.158.123:46148,192.168.31.2:1026,UDP
FWIN,2005/05/26,08:49:48 +2:00 GMT,61.152.239.134:47829,192.168.31.2:1027,UDP
FWIN,2005/05/26,09:43:10 +2:00 GMT,211.97.8.14:6000,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/05/26,09:43:50 +2:00 GMT,222.77.185.243:36936,192.168.31.2:1026,UDP
FWIN,2005/05/26,09:59:32 +2:00 GMT,82.235.174.242:2616,192.168.31.2:22,TCP (flags:S)
FWIN,2005/05/26,10:27:18 +2:00 GMT,218.24.201.24:6000,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/05/26,10:41:26 +2:00 GMT,61.152.158.123:46148,192.168.31.2:1026,UDP
FWIN,2005/05/26,11:18:38 +2:00 GMT,218.66.104.132:39623,192.168.31.2:1026,UDP
FWIN,2005/05/26,11:18:38 +2:00 GMT,218.66.104.132:39623,192.168.31.2:1027,UDP
FWIN,2005/05/26,11:38:54 +2:00 GMT,63.200.202.228:26601,192.168.31.2:3306,TCP (flags:S)
FWIN,2005/05/26,11:44:34 +2:00 GMT,61.152.239.17:38730,192.168.31.2:1026,UDP
FWIN,2005/05/26,12:06:52 +2:00 GMT,61.152.239.166:45663,192.168.31.2:1026,UDP
FWIN,2005/05/26,12:22:54 +2:00 GMT,192.168.34.45:3433,192.168.31.2:445,TCP (flags:S)
FWIN,2005/05/26,12:37:36 +2:00 GMT,61.152.158.123:46148,192.168.31.2:1027,UDP
FWIN,2005/05/26,12:43:32 +2:00 GMT,61.152.239.134:50136,192.168.31.2:1026,UDP
FWIN,2005/05/26,13:39:28 +2:00 GMT,128.227.97.242:1700,192.168.31.2:6101,TCP (flags:S)
FWIN,2005/05/26,13:55:16 +2:00 GMT,218.66.104.132:39623,192.168.31.2:1027,UDP
FWIN,2005/05/26,14:10:42 +2:00 GMT,61.152.160.63:57460,192.168.31.2:1027,UDP
FWIN,2005/05/26,14:33:48 +2:00 GMT,61.152.158.123:46148,192.168.31.2:1027,UDP
FWIN,2005/05/26,14:48:18 +2:00 GMT,61.152.239.134:40085,192.168.31.2:1027,UDP
FWIN,2005/05/26,15:04:00 +2:00 GMT,222.77.185.243:36936,192.168.31.2:1026,UDP
FWIN,2005/05/26,15:04:00 +2:00 GMT,222.77.185.243:36936,192.168.31.2:1027,UDP
FWIN,2005/05/26,15:16:20 +2:00 GMT,218.227.174.236:3687,192.168.31.2:5554,TCP (flags:S)
FWIN,2005/05/26,15:16:22 +2:00 GMT,218.227.174.236:4087,192.168.31.2:1023,TCP (flags:S)
FWIN,2005/05/26,15:16:24 +2:00 GMT,218.227.174.236:1545,192.168.31.2:9898,TCP (flags:S)
FWIN,2005/05/26,16:05:26 +2:00 GMT,65.254.38.138:58157,192.168.31.2:22,TCP (flags:S)
FWIN,2005/05/26,16:32:00 +2:00 GMT,218.66.104.132:39623,192.168.31.2:1027,UDP
FWIN,2005/05/26,17:00:20 +2:00 GMT,61.152.239.166:42286,192.168.31.2:1026,UDP
FWIN,2005/05/26,17:13:26 +2:00 GMT,61.64.154.39:2269,192.168.31.2:20031,TCP (flags:S)
FWIN,2005/05/26,17:20:18 +2:00 GMT,24.83.34.173:17947,192.168.31.2:1080,TCP (flags:S)
FWIN,2005/05/26,17:39:34 +2:00 GMT,218.107.141.29:6000,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/05/26,17:42:24 +2:00 GMT,212.21.243.98:3426,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/05/26,17:54:46 +2:00 GMT,61.152.239.17:60651,192.168.31.2:1026,UDP
FWIN,2005/05/26,18:13:30 +2:00 GMT,222.141.69.130:33570,192.168.31.2:1026,UDP
FWIN,2005/05/26,18:13:30 +2:00 GMT,222.141.69.130:33570,192.168.31.2:1027,UDP
FWIN,2005/05/26,18:35:30 +2:00 GMT,192.168.34.45:3539,192.168.31.2:445,TCP (flags:S)
FWIN,2005/05/26,18:38:40 +2:00 GMT,61.152.239.166:50520,192.168.31.2:1026,UDP
FWIN,2005/05/26,18:56:56 +2:00 GMT,61.37.250.112:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2005/05/26,18:57:18 +2:00 GMT,212.106.242.217:1634,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/05/26,19:06:52 +2:00 GMT,61.152.239.134:51486,192.168.31.2:1027,UDP
FWIN,2005/05/26,19:08:30 +2:00 GMT,218.66.104.132:39623,192.168.31.2:1026,UDP
FWIN,2005/05/26,19:08:30 +2:00 GMT,218.66.104.132:39623,192.168.31.2:1027,UDP
FWIN,2005/05/26,19:12:40 +2:00 GMT,63.204.160.125:3441,192.168.31.2:4899,TCP (flags:S)
FWIN,2005/05/26,19:16:14 +2:00 GMT,212.162.133.77:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2005/05/26,19:33:44 +2:00 GMT,63.204.160.125:3526,192.168.31.2:4899,TCP (flags:S)
FWIN,2005/05/26,19:38:32 +2:00 GMT,61.152.160.63:50095,192.168.31.2:1026,UDP
FWIN,2005/05/26,19:38:32 +2:00 GMT,61.152.160.63:63221,192.168.31.2:1027,UDP
FWIN,2005/05/26,19:54:46 +2:00 GMT,192.168.34.45:2521,192.168.31.2:445,TCP (flags:S)
FWIN,2005/05/26,19:58:20 +2:00 GMT,202.67.150.64:4089,192.168.31.2:3306,TCP (flags:S)
FWIN,2005/05/26,20:16:48 +2:00 GMT,222.77.185.243:36936,192.168.31.2:1027,UDP
FWIN,2005/05/26,20:17:18 +2:00 GMT,61.152.239.166:58838,192.168.31.2:1027,UDP
FWIN,2005/05/26,20:21:22 +2:00 GMT,200.195.111.226:3802,192.168.31.2:3306,TCP (flags:S)
FWIN,2005/05/26,20:22:36 +2:00 GMT,61.152.158.123:46149,192.168.31.2:1026,UDP
FWIN,2005/05/26,20:22:36 +2:00 GMT,61.152.158.123:46149,192.168.31.2:1027,UDP
FWIN,2005/05/26,20:32:30 +2:00 GMT,195.210.226.147:4266,192.168.31.2:15118,TCP (flags:S)
FWIN,2005/05/26,21:04:04 +2:00 GMT,61.37.250.112:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2005/05/26,21:05:44 +2:00 GMT,61.152.239.134:39351,192.168.31.2:1026,UDP
FWIN,2005/05/26,21:12:02 +2:00 GMT,192.168.34.45:3206,192.168.31.2:445,TCP (flags:S)
FWIN,2005/05/26,21:26:48 +2:00 GMT,220.65.55.130:3913,192.168.31.2:22,TCP (flags:S)
FWIN,2005/05/26,21:30:26 +2:00 GMT,222.139.214.136:6000,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/05/26,21:56:36 +2:00 GMT,61.152.239.166:38972,192.168.31.2:1026,UDP
FWIN,2005/05/26,22:18:24 +2:00 GMT,66.135.32.243:4459,192.168.31.2:2100,TCP (flags:S)
FWIN,2005/05/26,22:18:34 +2:00 GMT,61.152.158.123:46149,192.168.31.2:1026,UDP
FWIN,2005/05/26,22:18:34 +2:00 GMT,61.152.158.123:46149,192.168.31.2:1027,UDP
FWIN,2005/05/26,23:15:16 +2:00 GMT,218.44.205.250:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2005/05/26,23:21:12 +2:00 GMT,80.137.116.130:2243,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/05/26,23:21:26 +2:00 GMT,61.37.250.112:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2005/05/27,00:06:38 +2:00 GMT,61.152.239.17:54493,192.168.31.2:1026,UDP
FWIN,2005/05/27,00:13:14 +2:00 GMT,222.101.92.89:4805,192.168.31.2:25,TCP (flags:S)
FWIN,2005/05/27,00:14:42 +2:00 GMT,61.152.158.123:46163,192.168.31.2:1027,UDP
FWIN,2005/05/27,00:51:52 +2:00 GMT,212.106.207.17:4865,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/05/27,00:58:46 +2:00 GMT,61.152.239.134:41359,192.168.31.2:1026,UDP
FWIN,2005/05/27,01:14:38 +2:00 GMT,222.77.185.243:36967,192.168.31.2:1026,UDP
FWIN,2005/05/27,01:39:34 +2:00 GMT,61.152.239.17:59988,192.168.31.2:1026,UDP
FWIN,2005/05/27,01:39:36 +2:00 GMT,222.136.251.120:39336,192.168.31.2:1026,UDP
FWIN,2005/05/27,01:39:36 +2:00 GMT,222.136.251.120:39336,192.168.31.2:1027,UDP
FWIN,2005/05/27,01:39:38 +2:00 GMT,222.136.251.120:39338,192.168.31.2:1026,UDP
FWIN,2005/05/27,01:39:38 +2:00 GMT,222.136.251.120:39338,192.168.31.2:1027,UDP
