ZoneAlarm Logging Client v7.0.337.000
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport (Security)
type,date,time,virus name,file name,mode,e-mail id (Anti-Virus)
type,date,time,source,destination,action,service (IM Security)
type,date,time,source,destination,program,action (Malicious Code Protection)
type,date,time,action,product,file,event,subevent,class,data,data,... (OSFirewall)
type,date,time,name,type,mode (Anti-Spyware)
FWIN,2007/05/24,18:46:50 +2:00 GMT,60.45.18.98:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2007/05/24,19:16:48 +2:00 GMT,72.72.43.117:50368,192.168.31.5:139,TCP (flags:S)
FWIN,2007/05/24,19:16:50 +2:00 GMT,72.72.43.117:50633,192.168.31.5:139,TCP (flags:S)
FWIN,2007/05/24,19:16:56 +2:00 GMT,72.72.43.117:50972,192.168.31.5:139,TCP (flags:S)
FWIN,2007/05/24,19:31:12 +2:00 GMT,61.136.186.46:1291,192.168.31.5:1434,UDP
FWIN,2007/05/24,19:32:36 +2:00 GMT,212.3.128.123:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2007/05/24,20:33:22 +2:00 GMT,80.35.188.242:1101,192.168.31.5:4899,TCP (flags:S)
FWIN,2007/05/24,20:42:40 +2:00 GMT,83.8.254.252:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2007/05/24,20:54:08 +2:00 GMT,80.237.220.145:41496,192.168.31.5:22,TCP (flags:S)
FWIN,2007/05/24,21:06:42 +2:00 GMT,201.243.153.20:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2007/05/24,21:17:34 +2:00 GMT,212.202.143.212:1842,192.168.31.5:139,TCP (flags:S)
FWIN,2007/05/24,21:17:50 +2:00 GMT,63.135.6.96:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2007/05/24,21:18:00 +2:00 GMT,84.16.251.251:62119,192.168.31.5:22,TCP (flags:S)
FWIN,2007/05/24,21:26:42 +2:00 GMT,211.56.174.231:6000,192.168.31.5:1433,TCP (flags:S)
FWIN,2007/05/24,21:34:44 +2:00 GMT,82.125.213.100:2350,192.168.31.5:1000,TCP (flags:S)
FWIN,2007/05/24,21:39:20 +2:00 GMT,68.194.115.195:32511,192.168.31.5:5900,TCP (flags:S)
FWIN,2007/05/24,21:40:34 +2:00 GMT,212.97.173.169:3141,192.168.31.5:2967,TCP (flags:S)
FWIN,2007/05/24,21:45:14 +2:00 GMT,212.100.47.101:63697,192.168.31.5:135,TCP (flags:S)
FWIN,2007/05/24,21:47:06 +2:00 GMT,212.98.176.5:2723,192.168.31.5:5900,TCP (flags:S)
FWIN,2007/05/24,21:49:42 +2:00 GMT,212.33.51.136:2121,192.168.31.5:5900,TCP (flags:S)
FWIN,2007/05/24,21:54:14 +2:00 GMT,81.42.32.150:0,192.168.31.5:0,ICMP (type:8/subtype:0)
ZLUpdate,2007/05/24,21:56:40 +2:00 GMT,,,Auto
ZLUpdate,2007/05/24,21:56:44 +2:00 GMT,,,Auto
FWIN,2007/05/24,22:04:54 +2:00 GMT,63.97.248.34:45847,192.168.31.5:22,TCP (flags:S)
FWIN,2007/05/24,22:16:04 +2:00 GMT,201.210.145.113:18712,192.168.31.5:5900,TCP (flags:S)
FWIN,2007/05/24,22:56:08 +2:00 GMT,163.20.128.5:46381,192.168.31.5:5900,TCP (flags:S)
FWIN,2007/05/24,22:57:50 +2:00 GMT,163.20.128.5:42036,192.168.31.5:5900,TCP (flags:S)
FWIN,2007/05/24,23:21:52 +2:00 GMT,58.19.183.42:56071,192.168.31.5:1026,UDP
FWIN,2007/05/24,23:37:50 +2:00 GMT,212.27.234.45:2261,192.168.31.5:135,TCP (flags:S)
FWIN,2007/05/24,23:53:12 +2:00 GMT,190.7.30.21:35348,192.168.31.5:4899,TCP (flags:S)
FWIN,2007/05/24,23:59:50 +2:00 GMT,212.62.42.209:1260,192.168.31.5:5900,TCP (flags:S)
FWIN,2007/05/25,00:01:48 +2:00 GMT,201.253.244.204:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2007/05/25,00:24:04 +2:00 GMT,81.212.231.136:3912,192.168.31.5:135,TCP (flags:S)
FWIN,2007/05/25,00:30:22 +2:00 GMT,213.221.92.169:4812,192.168.31.5:23,TCP (flags:S)
FWIN,2007/05/25,00:33:24 +2:00 GMT,209.74.53.231:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2007/05/25,00:45:54 +2:00 GMT,213.221.92.169:4812,192.168.31.5:22,TCP (flags:S)
FWIN,2007/05/25,01:09:00 +2:00 GMT,70.126.242.114:4617,192.168.31.5:135,TCP (flags:S)
FWIN,2007/05/25,01:12:58 +2:00 GMT,212.124.170.64:1374,192.168.31.5:5900,TCP (flags:S)
FWIN,2007/05/25,01:25:34 +2:00 GMT,219.91.65.165:39216,192.168.31.5:25,TCP (flags:S)
FWIN,2007/05/25,01:28:58 +2:00 GMT,212.178.35.3:3477,192.168.31.5:139,TCP (flags:S)
FWIN,2007/05/25,02:17:42 +2:00 GMT,216.175.80.156:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2007/05/25,03:42:38 +2:00 GMT,206.51.226.232:1110,192.168.31.5:143,TCP (flags:S)
FWIN,2007/05/25,03:46:58 +2:00 GMT,84.246.247.10:38526,192.168.31.5:32000,TCP (flags:S)
FWIN,2007/05/25,04:06:44 +2:00 GMT,204.16.208.24:53243,192.168.31.5:1027,UDP
FWIN,2007/05/25,04:11:42 +2:00 GMT,65.60.106.219:38241,192.168.31.5:5900,TCP (flags:S)
FWIN,2007/05/25,04:36:20 +2:00 GMT,124.49.75.153:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2007/05/25,04:48:08 +2:00 GMT,87.118.112.40:3488,192.168.31.5:1433,TCP (flags:S)
FWIN,2007/05/25,04:54:02 +2:00 GMT,24.86.102.68:53182,192.168.31.5:1080,TCP (flags:S)
FWIN,2007/05/25,05:39:44 +2:00 GMT,217.70.126.117:3095,192.168.31.5:139,TCP (flags:S)
FWIN,2007/05/25,05:46:54 +2:00 GMT,87.118.112.40:2629,192.168.31.5:1433,TCP (flags:S)
FWIN,2007/05/25,06:00:56 +2:00 GMT,58.19.183.42:56990,192.168.31.5:1027,UDP
FWIN,2007/05/25,06:19:00 +2:00 GMT,209.44.145.212:3102,192.168.31.5:5900,TCP (flags:S)
FWIN,2007/05/25,06:29:54 +2:00 GMT,124.53.236.139:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2007/05/25,07:05:10 +2:00 GMT,211.213.129.9:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2007/05/25,07:12:42 +2:00 GMT,58.125.120.246:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2007/05/25,07:40:12 +2:00 GMT,212.59.171.169:1784,192.168.31.5:135,TCP (flags:S)
FWIN,2007/05/25,08:02:34 +2:00 GMT,212.109.53.147:4079,192.168.31.5:139,TCP (flags:S)
FWIN,2007/05/25,08:11:46 +2:00 GMT,212.98.162.179:4118,192.168.31.5:139,TCP (flags:S)
FWIN,2007/05/25,08:13:54 +2:00 GMT,212.83.242.84:50225,192.168.31.5:135,TCP (flags:S)
FWIN,2007/05/25,08:34:16 +2:00 GMT,69.130.133.177:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2007/05/25,08:45:36 +2:00 GMT,210.0.196.18:1566,192.168.31.5:111,TCP (flags:S)
FWIN,2007/05/25,09:03:28 +2:00 GMT,212.98.162.179:1890,192.168.31.5:2967,TCP (flags:S)
PE,2007/05/25,09:07:32 +2:00 GMT,MS DTC console program,C:\WINNT\system32\msdtc.exe,0.0.0.0:1027,N/A
FWIN,2007/05/25,09:08:24 +2:00 GMT,204.16.209.15:44523,192.168.31.5:1026,UDP
ZLUpdate,2007/05/25,09:25:14 +2:00 GMT,,,Auto
ZLUpdate,2007/05/25,09:25:18 +2:00 GMT,,,Auto
FWIN,2007/05/25,09:38:26 +2:00 GMT,212.109.53.147:2501,192.168.31.5:139,TCP (flags:S)
FWIN,2007/05/25,09:49:46 +2:00 GMT,209.169.47.225:3631,192.168.31.5:143,TCP (flags:S)
FWIN,2007/05/25,10:10:22 +2:00 GMT,212.109.53.147:1307,192.168.31.5:139,TCP (flags:S)
FWIN,2007/05/25,10:39:20 +2:00 GMT,212.109.53.147:3947,192.168.31.5:139,TCP (flags:S)
FWIN,2007/05/25,10:55:18 +2:00 GMT,89.232.248.32:3790,192.168.31.5:135,TCP (flags:S)
FWIN,2007/05/25,10:55:18 +2:00 GMT,200.27.54.226:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2007/05/25,11:15:44 +2:00 GMT,212.200.175.234:4446,192.168.31.5:5900,TCP (flags:S)
FWIN,2007/05/25,11:16:08 +2:00 GMT,219.153.42.135:6000,192.168.31.5:1433,TCP (flags:S)
FWIN,2007/05/25,11:16:36 +2:00 GMT,212.98.137.82:3882,192.168.31.5:2967,TCP (flags:S)
FWIN,2007/05/25,11:18:22 +2:00 GMT,193.41.180.50:0,192.168.31.5:0,ICMP (type:8/subtype:0)
FWIN,2007/05/25,11:24:42 +2:00 GMT,122.202.157.253:3308,192.168.31.5:25,TCP (flags:S)
