ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2004/06/04,21:24:22 +2:00 GMT,212.185.211.229:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/04,21:24:32 +2:00 GMT,212.5.168.246:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/04,21:33:08 +2:00 GMT,212.97.173.88:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/04,21:34:12 +2:00 GMT,212.122.103.42:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/04,21:47:14 +2:00 GMT,221.140.145.40:4261,192.168.31.2:1026,UDP
FWIN,2004/06/04,21:47:14 +2:00 GMT,221.140.145.40:4262,192.168.31.2:1027,UDP
FWIN,2004/06/04,21:47:14 +2:00 GMT,221.140.145.40:4632,192.168.31.2:1026,UDP
FWIN,2004/06/04,21:47:14 +2:00 GMT,221.140.145.40:4914,192.168.31.2:1027,UDP
FWIN,2004/06/04,22:09:18 +2:00 GMT,24.79.164.243:3600,192.168.31.2:559,TCP (flags:S)
FWIN,2004/06/04,22:13:06 +2:00 GMT,221.13.194.173:1865,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/04,22:41:04 +2:00 GMT,212.102.6.3:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/04,22:55:20 +2:00 GMT,211.109.128.162:666,192.168.31.2:1026,UDP
FWIN,2004/06/04,22:55:20 +2:00 GMT,211.109.128.162:666,192.168.31.2:1027,UDP
FWIN,2004/06/04,23:05:24 +2:00 GMT,24.201.193.44:2881,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/04,23:05:24 +2:00 GMT,24.201.193.44:3137,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/04,23:21:20 +2:00 GMT,62.99.139.195:1443,192.168.31.2:4128,TCP (flags:S)
FWIN,2004/06/04,23:50:56 +2:00 GMT,213.39.142.47:1581,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/06/04,23:50:56 +2:00 GMT,213.39.142.47:1583,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/06/05,00:09:40 +2:00 GMT,80.38.223.29:3083,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/06/05,00:16:00 +2:00 GMT,212.109.210.51:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,00:30:26 +2:00 GMT,212.34.141.46:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,00:33:46 +2:00 GMT,212.39.82.67:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,00:37:18 +2:00 GMT,221.142.71.172:2682,192.168.31.2:1027,UDP
FWIN,2004/06/05,00:46:42 +2:00 GMT,212.40.249.68:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,01:21:10 +2:00 GMT,83.26.13.150:3905,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/06/05,01:37:58 +2:00 GMT,211.200.246.23:2173,192.168.31.2:1026,UDP
FWIN,2004/06/05,01:37:58 +2:00 GMT,211.200.246.23:2468,192.168.31.2:1027,UDP
FWIN,2004/06/05,01:59:18 +2:00 GMT,64.156.39.12:666,192.168.31.2:1026,UDP
FWIN,2004/06/05,02:14:40 +2:00 GMT,209.114.220.128:4323,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/06/05,02:23:30 +2:00 GMT,212.116.221.12:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,03:43:02 +2:00 GMT,61.53.202.53:1127,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/06/05,03:43:02 +2:00 GMT,61.53.202.53:1129,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/06/05,03:43:02 +2:00 GMT,61.53.202.53:1131,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/06/05,03:43:02 +2:00 GMT,61.53.202.53:1132,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/06/05,04:56:06 +2:00 GMT,213.172.44.114:2356,192.168.31.2:4000,TCP (flags:S)
FWIN,2004/06/05,05:03:10 +2:00 GMT,221.140.129.177:1708,192.168.31.2:1026,UDP
FWIN,2004/06/05,05:03:10 +2:00 GMT,221.140.129.177:1709,192.168.31.2:1027,UDP
FWIN,2004/06/05,05:03:12 +2:00 GMT,221.140.129.177:2661,192.168.31.2:1026,UDP
FWIN,2004/06/05,05:03:12 +2:00 GMT,221.140.129.177:2662,192.168.31.2:1027,UDP
FWIN,2004/06/05,05:03:14 +2:00 GMT,221.140.129.177:1839,192.168.31.2:1026,UDP
FWIN,2004/06/05,05:03:14 +2:00 GMT,221.140.129.177:2159,192.168.31.2:1027,UDP
FWIN,2004/06/05,05:28:36 +2:00 GMT,217.165.187.17:1284,192.168.31.2:1026,UDP
FWIN,2004/06/05,06:15:28 +2:00 GMT,218.72.11.26:1273,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/05,06:15:28 +2:00 GMT,218.72.11.26:1580,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/05,06:17:58 +2:00 GMT,66.68.75.243:3752,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/06/05,06:18:14 +2:00 GMT,213.112.53.204:4359,192.168.31.2:12345,TCP (flags:S)
FWIN,2004/06/05,06:19:36 +2:00 GMT,211.144.105.190:16425,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/06/05,06:19:36 +2:00 GMT,211.144.105.190:24619,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/06/05,07:19:08 +2:00 GMT,221.139.84.68:1772,192.168.31.2:1027,UDP
FWIN,2004/06/05,07:19:08 +2:00 GMT,221.139.84.68:3368,192.168.31.2:1026,UDP
FWIN,2004/06/05,07:19:08 +2:00 GMT,221.139.84.68:3752,192.168.31.2:1027,UDP
FWIN,2004/06/05,07:19:12 +2:00 GMT,221.139.84.68:3648,192.168.31.2:1026,UDP
FWIN,2004/06/05,07:19:12 +2:00 GMT,221.139.84.68:3860,192.168.31.2:1027,UDP
FWIN,2004/06/05,07:19:14 +2:00 GMT,221.139.84.68:4855,192.168.31.2:1026,UDP
FWIN,2004/06/05,07:19:14 +2:00 GMT,221.139.84.68:1298,192.168.31.2:1027,UDP
FWIN,2004/06/05,07:19:20 +2:00 GMT,221.139.84.68:4004,192.168.31.2:1026,UDP
FWIN,2004/06/05,07:19:20 +2:00 GMT,221.139.84.68:4459,192.168.31.2:1027,UDP
FWIN,2004/06/05,07:19:20 +2:00 GMT,221.139.84.68:4059,192.168.31.2:1026,UDP
FWIN,2004/06/05,07:19:22 +2:00 GMT,221.139.84.68:4423,192.168.31.2:1027,UDP
FWIN,2004/06/05,07:30:22 +2:00 GMT,218.238.201.212:2048,192.168.31.2:1027,UDP
FWIN,2004/06/05,07:34:42 +2:00 GMT,218.52.165.121:4515,192.168.31.2:1027,UDP
FWIN,2004/06/05,07:34:44 +2:00 GMT,218.52.165.121:2519,192.168.31.2:1026,UDP
FWIN,2004/06/05,07:34:44 +2:00 GMT,218.52.165.121:2787,192.168.31.2:1027,UDP
FWIN,2004/06/05,07:50:56 +2:00 GMT,212.109.210.242:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,08:06:00 +2:00 GMT,219.145.185.144:1875,192.168.31.2:1026,UDP
FWIN,2004/06/05,08:06:00 +2:00 GMT,219.145.185.144:2472,192.168.31.2:1027,UDP
FWIN,2004/06/05,08:06:06 +2:00 GMT,219.145.185.144:3898,192.168.31.2:1026,UDP
FWIN,2004/06/05,08:06:06 +2:00 GMT,219.145.185.144:4475,192.168.31.2:1027,UDP
FWIN,2004/06/05,08:23:58 +2:00 GMT,211.208.9.4:1439,192.168.31.2:1026,UDP
FWIN,2004/06/05,08:29:16 +2:00 GMT,212.127.249.232:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/05,08:34:54 +2:00 GMT,81.203.218.18:3644,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/05,08:34:54 +2:00 GMT,81.203.218.18:3902,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/05,08:40:10 +2:00 GMT,212.109.211.193:0,192.168.31.2:0,ICMP (type:8/subtype:0)
