ZoneAlarm Logging Client v5.5.062.000
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport (security)
type,date,time,virus name,file name,mode,e-mail id (antivirus)
type,date,time,source,destination,action,service (IM security)
FWIN,2005/07/16,11:18:36 +2:00 GMT,24.83.34.143:28341,192.168.31.2:1080,TCP (flags:S)
FWIN,2005/07/16,11:44:50 +2:00 GMT,169.237.75.161:2909,192.168.31.2:3306,TCP (flags:S)
FWIN,2005/07/16,12:14:48 +2:00 GMT,210.121.215.89:3717,192.168.31.2:4899,TCP (flags:S)
FWIN,2005/07/16,12:19:44 +2:00 GMT,216.64.116.71:3031,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/07/16,12:45:20 +2:00 GMT,194.51.178.7:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2005/07/16,13:45:50 +2:00 GMT,218.66.104.140:50499,192.168.31.2:1027,UDP
FWIN,2005/07/16,14:13:08 +2:00 GMT,212.95.79.161:2858,192.168.31.2:6129,TCP (flags:S)
FWIN,2005/07/16,14:38:20 +2:00 GMT,62.190.95.146:2882,192.168.31.2:6969,TCP (flags:S)
FWIN,2005/07/16,15:08:46 +2:00 GMT,211.174.108.49:3605,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/07/16,15:18:14 +2:00 GMT,221.144.157.50:4214,192.168.31.2:5554,TCP (flags:S)
FWIN,2005/07/16,15:18:14 +2:00 GMT,221.144.157.50:4330,192.168.31.2:1023,TCP (flags:S)
FWIN,2005/07/16,15:18:16 +2:00 GMT,221.144.157.50:4563,192.168.31.2:9898,TCP (flags:S)
FWIN,2005/07/16,15:44:16 +2:00 GMT,212.106.242.246:2892,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/07/16,17:46:04 +2:00 GMT,208.60.92.171:2101,192.168.31.2:3306,TCP (flags:S)
FWIN,2005/07/16,18:16:34 +2:00 GMT,212.108.243.209:3750,192.168.31.2:6129,TCP (flags:S)
FWIN,2005/07/16,18:24:34 +2:00 GMT,212.78.142.219:2232,192.168.31.2:6129,TCP (flags:S)
FWIN,2005/07/16,18:51:12 +2:00 GMT,65.120.90.152:4383,192.168.31.2:10000,TCP (flags:S)
FWIN,2005/07/16,19:41:52 +2:00 GMT,211.233.8.36:47465,192.168.31.2:22,TCP (flags:S)
FWIN,2005/07/16,20:16:30 +2:00 GMT,212.108.238.148:3725,192.168.31.2:6129,TCP (flags:S)
FWIN,2005/07/16,20:27:52 +2:00 GMT,212.58.4.88:3502,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/07/16,20:33:58 +2:00 GMT,68.66.15.207:1108,192.168.31.2:4899,TCP (flags:S)
FWIN,2005/07/16,20:36:12 +2:00 GMT,212.106.226.117:4483,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/07/16,20:48:32 +2:00 GMT,80.33.239.6:3881,192.168.31.2:42,TCP (flags:S)
FWIN,2005/07/16,21:02:54 +2:00 GMT,193.205.144.183:4858,192.168.31.2:3389,TCP (flags:S)
FWIN,2005/07/16,21:33:34 +2:00 GMT,212.58.4.88:4564,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/07/16,21:45:24 +2:00 GMT,72.29.32.81:50000,192.168.31.2:4899,TCP (flags:S)
FWIN,2005/07/16,21:45:28 +2:00 GMT,72.29.32.81:50611,192.168.31.2:4899,TCP (flags:S)
FWIN,2005/07/16,21:46:30 +2:00 GMT,211.173.106.99:3934,192.168.31.2:3306,TCP (flags:S)
FWIN,2005/07/16,22:13:40 +2:00 GMT,61.157.96.114:1462,192.168.31.2:4899,TCP (flags:S)
FWIN,2005/07/16,23:23:10 +2:00 GMT,195.141.90.115:2692,192.168.31.2:14444,TCP (flags:S)
FWIN,2005/07/17,00:05:28 +2:00 GMT,222.168.110.70:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2005/07/17,00:51:28 +2:00 GMT,218.66.104.140:47239,192.168.31.2:1026,UDP
FWIN,2005/07/17,01:27:24 +2:00 GMT,212.109.42.58:3749,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/07/17,02:57:54 +2:00 GMT,218.24.201.24:6000,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/07/17,04:30:34 +2:00 GMT,70.85.176.218:55066,192.168.31.2:1027,UDP
FWIN,2005/07/17,04:32:42 +2:00 GMT,218.66.104.140:44104,192.168.31.2:1026,UDP
FWIN,2005/07/17,04:32:42 +2:00 GMT,218.66.104.140:44104,192.168.31.2:1027,UDP
FWIN,2005/07/17,04:52:44 +2:00 GMT,212.106.224.35:4228,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/07/17,06:31:02 +2:00 GMT,70.85.176.218:55110,192.168.31.2:1027,UDP
FWIN,2005/07/17,06:31:02 +2:00 GMT,70.85.176.218:55110,192.168.31.2:1026,UDP
FWIN,2005/07/17,06:31:56 +2:00 GMT,212.106.225.195:2721,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/07/17,07:40:06 +2:00 GMT,70.59.252.48:4361,192.168.31.2:4899,TCP (flags:S)
FWIN,2005/07/17,07:52:46 +2:00 GMT,220.70.98.61:3365,192.168.31.2:4899,TCP (flags:S)
FWIN,2005/07/17,08:03:36 +2:00 GMT,211.197.208.199:62296,192.168.31.2:23,TCP (flags:S)
FWIN,2005/07/17,08:17:38 +2:00 GMT,218.66.104.140:43594,192.168.31.2:1027,UDP
FWIN,2005/07/17,08:20:12 +2:00 GMT,212.109.42.58:3621,192.168.31.2:1433,TCP (flags:S)
FWIN,2005/07/17,09:31:22 +2:00 GMT,218.83.153.179:32953,192.168.31.2:1027,UDP
FWIN,2005/07/17,09:31:22 +2:00 GMT,218.83.153.179:32953,192.168.31.2:1026,UDP
FWIN,2005/07/17,10:19:04 +2:00 GMT,66.235.209.11:2635,192.168.31.2:1433,TCP (flags:S)
