ZoneAlarm Logging Client v6.5.722.000
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport (Security)
type,date,time,virus name,file name,mode,e-mail id (Anti-Virus)
type,date,time,source,destination,action,service (IM Security)
type,date,time,source,destination,program,action (Malicious Code Protection)
type,date,time,action,product,file,event,subevent,class,data,data,... (OSFirewall)
type,date,time,name,type,mode (Anti-Spyware)
FWIN,2006/08/04,15:35:14 +2:00 GMT,192.168.35.183:1702,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/04,15:50:30 +2:00 GMT,204.16.208.66:45632,192.168.31.5:1027,UDP
FWIN,2006/08/04,16:25:40 +2:00 GMT,192.168.35.183:4756,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/04,17:29:02 +2:00 GMT,192.168.35.183:1231,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/04,17:35:12 +2:00 GMT,204.16.208.66:34052,192.168.31.5:1027,UDP
FWIN,2006/08/04,18:11:54 +2:00 GMT,212.107.221.34:36483,192.168.31.5:4899,TCP (flags:S)
FWIN,2006/08/04,18:14:14 +2:00 GMT,192.168.35.183:1393,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/04,18:14:30 +2:00 GMT,192.168.35.183:1750,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/04,18:35:30 +2:00 GMT,204.16.208.74:50351,192.168.31.5:1027,UDP
FWIN,2006/08/04,19:23:02 +2:00 GMT,212.68.0.31:45861,192.168.31.5:22,TCP (flags:S)
FWIN,2006/08/04,20:11:58 +2:00 GMT,192.168.35.183:2227,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/04,21:05:06 +2:00 GMT,204.16.208.66:42225,192.168.31.5:1027,UDP
FWIN,2006/08/04,21:13:30 +2:00 GMT,192.168.35.183:4097,192.168.31.5:445,TCP (flags:S)
ACCESS,2006/08/04,21:16:32 +2:00 GMT,Aplikacja logowania systemu Windows NT was blocked from connecting to the local zone (192.168.31.1:Port 389).,N/A,N/A
FWIN,2006/08/04,22:20:30 +2:00 GMT,192.168.35.183:1416,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/04,22:25:58 +2:00 GMT,212.109.156.70:4615,192.168.31.5:1433,TCP (flags:S)
ACCESS,2006/08/04,22:51:24 +2:00 GMT,Aplikacja logowania systemu Windows NT was blocked from connecting to the local zone (192.168.31.1:Port 389).,N/A,N/A
FWIN,2006/08/05,00:03:08 +2:00 GMT,192.168.35.183:2044,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/05,00:12:04 +2:00 GMT,58.235.197.142:1226,192.168.31.5:4899,TCP (flags:S)
FWIN,2006/08/05,00:32:10 +2:00 GMT,66.45.17.27:3064,192.168.31.5:1433,TCP (flags:S)
FWIN,2006/08/05,00:46:38 +2:00 GMT,67.120.45.73:60767,192.168.31.5:4899,TCP (flags:S)
FWIN,2006/08/05,00:46:46 +2:00 GMT,67.120.45.73:61361,192.168.31.5:4899,TCP (flags:S)
FWIN,2006/08/05,01:12:48 +2:00 GMT,192.168.35.183:2800,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/05,02:25:44 +2:00 GMT,204.16.208.66:58581,192.168.31.5:1027,UDP
FWIN,2006/08/05,02:54:14 +2:00 GMT,69.235.47.149:3152,192.168.31.5:15118,TCP (flags:S)
FWIN,2006/08/05,03:09:40 +2:00 GMT,216.193.226.84:1988,192.168.31.5:5900,TCP (flags:S)
FWIN,2006/08/05,03:17:34 +2:00 GMT,218.25.36.212:6000,192.168.31.5:1433,TCP (flags:S)
FWIN,2006/08/05,03:20:16 +2:00 GMT,64.246.161.60:1164,192.168.31.5:3306,TCP (flags:S)
FWIN,2006/08/05,03:20:54 +2:00 GMT,193.138.232.84:48343,192.168.31.5:1080,TCP (flags:S)
FWIN,2006/08/05,03:27:56 +2:00 GMT,61.31.165.16:2507,192.168.31.5:25,TCP (flags:S)
FWIN,2006/08/05,03:36:34 +2:00 GMT,192.168.35.183:2288,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/05,03:46:26 +2:00 GMT,192.168.35.183:3359,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/05,04:05:36 +2:00 GMT,60.11.125.44:35965,192.168.31.5:1027,UDP
FWIN,2006/08/05,04:10:36 +2:00 GMT,204.16.208.66:47439,192.168.31.5:1027,UDP
FWIN,2006/08/05,05:13:40 +2:00 GMT,218.167.70.53:60198,192.168.31.5:25,TCP (flags:S)
FWIN,2006/08/05,05:22:00 +2:00 GMT,218.169.59.212:3385,192.168.31.5:3128,TCP (flags:S)
FWIN,2006/08/05,05:22:30 +2:00 GMT,218.169.59.212:4777,192.168.31.5:8080,TCP (flags:S)
FWIN,2006/08/05,05:23:00 +2:00 GMT,218.169.59.212:4422,192.168.31.5:1080,TCP (flags:S)
FWIN,2006/08/05,05:23:30 +2:00 GMT,218.169.59.212:3645,192.168.31.5:6588,TCP (flags:S)
FWIN,2006/08/05,05:24:00 +2:00 GMT,218.169.59.212:4689,192.168.31.5:25,TCP (flags:S)
FWIN,2006/08/05,05:43:32 +2:00 GMT,192.168.35.183:3311,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/05,06:26:06 +2:00 GMT,192.168.35.183:3935,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/05,06:29:26 +2:00 GMT,192.168.35.183:4373,192.168.31.5:445,TCP (flags:S)
ACCESS,2006/08/05,06:51:32 +2:00 GMT,Aplikacja logowania systemu Windows NT was blocked from connecting to the local zone (192.168.31.1:Port 389).,N/A,N/A
FWIN,2006/08/05,07:21:08 +2:00 GMT,192.168.35.183:1294,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/05,07:38:50 +2:00 GMT,213.171.206.249:2380,192.168.31.5:10000,TCP (flags:S)
FWIN,2006/08/05,07:50:06 +2:00 GMT,218.78.244.8:39568,192.168.31.5:111,TCP (flags:S)
FWIN,2006/08/05,07:57:48 +2:00 GMT,192.168.35.183:2120,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/05,08:51:20 +2:00 GMT,192.168.35.183:1407,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/05,09:00:40 +2:00 GMT,213.205.140.40:1065,192.168.31.5:5900,TCP (flags:S)
FWIN,2006/08/05,09:21:32 +2:00 GMT,213.69.201.113:4687,192.168.31.5:110,TCP (flags:S)
FWIN,2006/08/05,09:24:54 +2:00 GMT,192.168.35.183:2072,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/05,09:30:10 +2:00 GMT,192.168.35.183:1109,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/05,09:30:16 +2:00 GMT,204.16.208.66:44146,192.168.31.5:1027,UDP
FWIN,2006/08/05,10:05:26 +2:00 GMT,62.141.58.43:4954,192.168.31.5:1080,TCP (flags:S)
FWIN,2006/08/05,10:05:26 +2:00 GMT,62.141.58.43:4955,192.168.31.5:3128,TCP (flags:S)
FWIN,2006/08/05,10:05:26 +2:00 GMT,62.141.58.43:4956,192.168.31.5:8080,TCP (flags:S)
FWIN,2006/08/05,10:31:24 +2:00 GMT,195.149.74.194:2542,192.168.31.5:10000,TCP (flags:S)
FWIN,2006/08/05,10:46:32 +2:00 GMT,213.246.63.135:3773,192.168.31.5:42,TCP (flags:S)
FWIN,2006/08/05,10:56:36 +2:00 GMT,192.168.35.183:4112,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/05,11:14:26 +2:00 GMT,192.168.35.183:3886,192.168.31.5:445,TCP (flags:S)
FWIN,2006/08/05,11:16:16 +2:00 GMT,204.16.208.66:41646,192.168.31.5:1027,UDP
FWIN,2006/08/05,11:23:30 +2:00 GMT,84.242.254.253:1622,192.168.31.5:4899,TCP (flags:S)
FWIN,2006/08/05,11:42:46 +2:00 GMT,212.109.156.133:3568,192.168.31.5:1433,TCP (flags:S)
FWIN,2006/08/05,11:43:46 +2:00 GMT,64.47.29.34:1791,192.168.31.5:13500,TCP (flags:S)
FWIN,2006/08/05,11:45:34 +2:00 GMT,212.109.156.133:3911,192.168.31.5:1433,TCP (flags:S)
FWIN,2006/08/05,11:51:28 +2:00 GMT,212.109.156.133:2950,192.168.31.5:1433,TCP (flags:S)
FWIN,2006/08/05,11:52:16 +2:00 GMT,207.106.214.113:3024,192.168.31.5:41523,TCP (flags:S)
FWIN,2006/08/05,12:04:22 +2:00 GMT,212.109.156.70:4508,192.168.31.5:1433,TCP (flags:S)
FWIN,2006/08/05,12:11:36 +2:00 GMT,212.109.156.70:2915,192.168.31.5:1433,TCP (flags:S)
FWIN,2006/08/05,12:19:28 +2:00 GMT,212.109.156.70:1211,192.168.31.5:1433,TCP (flags:S)
FWIN,2006/08/05,12:37:42 +2:00 GMT,212.109.156.133:1061,192.168.31.5:1433,TCP (flags:S)
FWIN,2006/08/05,12:56:56 +2:00 GMT,81.199.127.58:47027,192.168.31.5:22,TCP (flags:S)
FWIN,2006/08/05,12:57:38 +2:00 GMT,212.109.155.85:3458,192.168.31.5:1433,TCP (flags:S)
FWIN,2006/08/05,13:03:54 +2:00 GMT,212.109.156.70:1604,192.168.31.5:1433,TCP (flags:S)
FWIN,2006/08/05,13:23:52 +2:00 GMT,192.168.35.183:4311,192.168.31.5:445,TCP (flags:S)
